,town_check,town_set,county,
"Bridebridge, Cork",Bridebridge,Bridebridge, Cork,214
"Bridge End, Donegal",Bridge End,Bridge End, Donegal,298
"Bridgetown, Wexford",Bridgetown,Bridgetown, Wexford,183
"Brinlack, Donegal",Brinlack,Brinlack, Donegal,381
"Brittas, South Dublin",Brittas,Brittas, South Dublin,174
"Broadford, Limerick",Broadford,Broadford, Limerick,300
"Brosna, Kerry",Brosna,Brosna, Kerry,204
"Brownstown, Kildare",Brownstown,Brownstown, Kildare,500
"Bruff, Limerick",Bruff,Bruff, Limerick,695
"Bruree, Limerick",Bruree,Bruree, Limerick,299
"Bunbeg-Derrybeg, Donegal",Bunbeg,Bunbeg, Donegal,1388
,Derrybeg,Derrybeg,Donegal,
"Bunclody-Carrickduff, Carlow and Wexford",Bunclody,Bunclody,Wexford,1361
,Carrickduff,Carrickduff,Carlow,
"Buncrana Town, Donegal",Buncrana,Buncrana, Donegal,5271
"Bundoran Town, Donegal",Bundoran,Bundoran, Donegal,1842
"Burnfoot, Donegal",Burnfoot,Burnfoot, Donegal,240
"Burtonport, Donegal",Burtonport,Burtonport, Donegal,346
"Butlersbridge, Cavan",Butlersbridge,Butlersbridge, Cavan,182
"Buttevant, Cork",Buttevant,Buttevant, Cork,987
"Cabragh, Monaghan",Cabragh,Cabragh, Monaghan,201
"Caherconlish, Limerick",Caherconlish,Caherconlish, Limerick,616
"Cahir, Tipperary South",Cahir,Cahir, Tipperary South,2794
"Cahersiveen, Kerry",Cahersiveen,Cahersiveen, Kerry,10234
"Callan, Kilkenny",Callan,Callan, Kilkenny,1325
"Camolin, Wexford",Camolin,Camolin, Wexford,320
"Campile, Wexford",Campile,Campile, Wexford,335
"Cappamore, Limerick",Cappamore,Cappamore, Limerick,684
"Cappawhite, Tipperary South",Cappawhite,Cappawhite, Tipperary South,340
"Cappoquin, Waterford",Cappoquin,Cappoquin, Waterford,756
"Carlingford, Louth",Carlingford,Carlingford, Louth,604
"Carlow Town, Carlow",Carlow,Carlow, Carlow,18487
"Carndonagh, Donegal",Carndonagh,Carndonagh, Donegal,1673
"Carnew, Wicklow",Carnew,Carnew, Wicklow,809
"Carragh, Kildare",Carragh,Carragh, Kildare,242
"Carraroe, Galway",Carraroe,Carraroe, Galway,629
"Carrick, Donegal",Carrick,Carrick, Donegal,245
"Carrickmacross Town, Monaghan",Carrickmacross,Carrickmacross, Monaghan,3832
"Carrick-on-Shannon, Leitrim and Roscommon",Carrick-on-Shannon,Carrick-on-Shannon, Leitrim,2237
,Carrick on Shannon,Carrick on Shannon, Leitrim,
"Carrick-on-Suir Town, Tipperary South",Carrick-on-Suir,Carrick-on-Suir, Tipperary South,5586
,Carrick on Suir,Carrick on Suir, Tipperary South,
"Carrigaline, Cork",Carrigaline,Carrigaline, Cork,11191
"Carrigallen, Leitrim",Carrigallen,Carrigallen, Leitrim,257
"Carrigans, Donegal",Carrigans,Carrigans, Donegal,158
"Carrigtwohill, Cork",Carrigtwohill,Carrigtwohill, Cork,1411
"Carrowkeel, Donegal",Carrowkeel,Carrowkeel, Donegal,253
"Cashel Town, Tipperary South",Cashel,Cashel, Tipperary South,2770
"Castlebar Town, Mayo",Castlebar,Castlebar, Mayo,11371
"Castlebellingham/Kilsaran, Louth",Castlebellingham,Castlebellingham, Louth,721
,Kilsaran,Castlebellingham,Louth,
"Castleblayney Town, Monaghan",Castleblayney,Castleblayney, Monaghan,2936
"Castlebridge, Wexford",Castlebridge,Castlebridge, Wexford,1013
"Castlecomer-Donaguile, Kilkenny",Castlecomer,Castlecomer, Kilkenny,1482
"Castleconnell, Limerick",Castleconnell,Castleconnell, Limerick,1343
"Castledermot, Kildare",Castledermot,Castledermot, Kildare,726
"Castle Ellis, Wexford",Castle Ellis,Castle Ellis, Wexford,165
"Castlefin, Donegal",Castlefin,Castlefin, Donegal,783
"Castlegregory, Kerry",Castlegregory,Castlegregory, Kerry,186
"Castleisland, Kerry",Castleisland,Castleisland, Kerry,2162
"Castlelyons, Cork",Castlelyons,Castlelyons, Cork,211
"Castlemartyr, Cork",Castlemartyr,Castlemartyr, Cork,577
"Castlepollard, Westmeath",Castlepollard,Castlepollard, Westmeath,895
"Castlerea, Roscommon",Castlerea,Castlerea, Roscommon,2689
"Castletown, Laois",Castletown,Castletown, Laois,289
"Castletownbere, Cork",Castletownbere,Castletownbere, Cork,875
"Castletownroche, Cork",Castletownroche,Castletownroche, Cork,423
"Castletownshend, Cork",Castletownshend,Castletownshend, Cork,157
"Causeway, Kerry",Causeway,Causeway, Kerry,251
"Cavan Town, Cavan",Cavan,Cavan, Cavan,6098
"Ceannanus Mór (formerly Kells) Town, Meath",Ceannanus,Ceannanus, Meath,4421
,Kells,Kells,Meath,
"Celbridge, Kildare",Celbridge,Celbridge, Kildare,16016
"Charlestown-Bellahy, Mayo and Sligo",Charlestown,Charlestown,Mayo,753
,Charlestown,Charlestown,Sligo,
"Cheekpoint, Waterford",Cheekpoint,Cheekpoint, Waterford,325
"Churchbay, Cork",Churchbay,Churchbay, Cork,270
"Clane, Kildare",Clane,Clane, Kildare,4417
"Clara, Offaly",Clara,Clara, Offaly,2704
"Claregalway, Galway",Claregalway,Claregalway, Galway,562
"Claremorris, Mayo",Claremorris,Claremorris, Mayo,2101
"Clarinbridge, Galway",Clarinbridge,Clarinbridge, Galway,173
"Clashmore, Waterford",Clashmore,Clashmore, Waterford,161
"Clifden, Galway",Clifden,Clifden, Galway,1355
"Cliffoney, Sligo",Cliffoney,Cliffoney, Sligo,327
"Cloghan, Offaly",Cloghan,Cloghan, Offaly,523
"Clogh-Chatsworth, Kilkenny",Chatsworth,Chatsworth, Kilkenny,320
"Clogheen, Tipperary South",Clogheen,Clogheen, Tipperary South,550
"Clogherhead, Louth",Clogherhead,Clogherhead, Louth,906
"Clonakilty Town, Cork",Clonakilty,Clonakilty, Cork,3698
"Clonard, Meath",Clonard,Clonard, Meath,248
"Clonaslee, Laois",Clonaslee,Clonaslee, Laois,538
"Clonbullogue, Offaly",Clonbullogue,Clonbullogue, Offaly,390
"Clonee Village, Meath",Clonee,Clonee, Meath,173
"Clonegal, Carlow and Wexford",Clonegal,Clonegal, Carlow and Wexford,193
"Clones Town, Monaghan",Clones,Clones, Monaghan,1947
"Clongeen, Wexford",Clongeen,Clongeen, Wexford,224
"Clonlara, Clare",Clonlara,Clonlara, Clare,472
"Clonmany, Donegal",Clonmany,Clonmany, Donegal,393
"Clonmel Borough, Tipperary South",Clonmel Borough,Clonmel Borough, Tipperary South,16910
"Clonmellon, Westmeath",Clonmellon,Clonmellon, Westmeath,403
"Clonroche, Wexford",Clonroche,Clonroche, Wexford,339
"Clontuskert, Roscommon",Clontuskert,Clontuskert, Roscommon,236
"Cloonboo, Galway",Cloonboo,Cloonboo, Galway,351
"Cloughjordan, Tipperary North",Cloughjordan,Cloughjordan, Tipperary North,431
"Cloyne, Cork",Cloyne,Cloyne, Cork,785
"Coachford, Cork",Coachford,Coachford, Cork,412
